ID,Oil_Type,Surfactant_Type,Required_HLB,Oil_MW,Surf_HLB,Surf_MW,Smix_Ratio,System_HLB,PDI,Stability_Target
NE_0001,Castor Oil,Tween 20,14.0,933.4,16.7,1227.0,3,13.77,0.173,1
NE_0002,Oleic Acid,Tween 80,17.0,282.5,15.0,1310.0,3,12.5,0.261,0
NE_0003,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,1,9.25,0.129,0
NE_0004,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,1,10.0,0.426,0
NE_0005,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,1,9.25,0.3,0
NE_0006,Capryol 90,Tween 80,11.5,172.2,15.0,1310.0,3,12.5,0.233,1
NE_0007,Oleic Acid,Tween 20,17.0,282.5,16.7,1227.0,3,13.77,0.304,0
NE_0008,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500.0,3,11.38,0.179,1
NE_0009,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,1,9.25,0.363,0
NE_0010,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,3,10.25,0.347,0
NE_0011,Capryol 90,Tween 20,11.5,172.2,16.7,1227.0,1,10.85,0.271,1
NE_0012,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,1,8.5,0.351,0
NE_0013,Miglyol 812,Labrasol,15.0,520.0,12.0,450.0,3,10.25,0.289,0
NE_0014,Castor Oil,Labrasol,14.0,933.4,12.0,450.0,3,10.25,0.343,0
NE_0015,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,1,9.25,0.188,0
NE_0016,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500.0,3,11.38,0.367,0
NE_0017,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,1,9.25,0.441,0
NE_0018,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500.0,3,11.38,0.296,0
NE_0019,Miglyol 812,Tween 80,15.0,520.0,15.0,1310.0,3,12.5,0.39,0
